Input,1,2,3,4,5,6,7,8,9,10
itineraries.0,0.039,0.039,0.039,0.039,0.039,0.046,0.039,0.039,0.039,0.039
itineraries.1,0.039,0.039,0.039,0.039,0.040,0.040,0.039,0.041,0.039,0.040
itineraries.2,0.480,0.497,0.492,0.487,0.465,0.463,0.474,0.462,0.463,0.466
itineraries.3,1.592,1.591,1.590,1.611,1.594,1.621,1.631,1.595,1.594,1.610
itineraries.4,1.589,1.619,1.608,1.600,1.620,1.588,1.605,1.590,1.601,1.596
itineraries.5,0.633,0.633,0.628,0.627,0.634,0.630,0.627,0.639,0.637,0.635
itineraries.6,1.874,1.887,1.860,1.840,1.854,1.838,1.963,1.848,1.840,1.852
itineraries.7,1.825,1.856,1.845,1.831,1.828,1.833,1.844,1.844,1.837,1.826
itineraries.8,1.848,1.841,1.841,1.837,1.842,1.843,1.851,1.850,1.853,1.854
itineraries.9,1.847,1.829,1.835,1.842,1.843,1.892,1.851,1.835,1.854,1.849
